Fecha,Dia,Mes,Year,a,b
03.06.2016,3,6,2016,682.3,
06.06.2016,6,6,2016,679.75,
07.06.2016,7,6,2016,679.4,
08.06.2016,8,6,2016,673.8,
09.06.2016,9,6,2016,679.02,
10.06.2016,10,6,2016,683.72,
13.06.2016,13,6,2016,684.65,
14.06.2016,14,6,2016,688.8,
15.06.2016,15,6,2016,685.88,
16.06.2016,16,6,2016,688.78,
17.06.2016,17,6,2016,684.5,
20.06.2016,20,6,2016,678.6,
21.06.2016,21,6,2016,676.1,
22.06.2016,22,6,2016,674.7,
23.06.2016,23,6,2016,669.45,
24.06.2016,24,6,2016,679.2,
27.06.2016,27,6,2016,682.25,
28.06.2016,28,6,2016,666.71,
29.06.2016,29,6,2016,661.69,
30.06.2016,30,6,2016,662,
01.07.2016,1,7,2016,660.76,657.667619
04.07.2016,4,7,2016,657,
05.07.2016,5,7,2016,663,
06.07.2016,6,7,2016,662.95,
07.07.2016,7,7,2016,665.6,
08.07.2016,8,7,2016,659.5,
11.07.2016,11,7,2016,661.46,
12.07.2016,12,7,2016,660,
13.07.2016,13,7,2016,655.7,
14.07.2016,14,7,2016,650.66,
15.07.2016,15,7,2016,655.1,
18.07.2016,18,7,2016,648.42,
19.07.2016,19,7,2016,652.4,
20.07.2016,20,7,2016,652.06,
21.07.2016,21,7,2016,650.65,
22.07.2016,22,7,2016,650.7,
25.07.2016,25,7,2016,659.3,
26.07.2016,26,7,2016,661.7,
27.07.2016,27,7,2016,665.1,
28.07.2016,28,7,2016,663.52,
29.07.2016,29,7,2016,655.44,
01.08.2016,1,8,2016,658.67,660.2873913
02.08.2016,2,8,2016,655.5,
03.08.2016,3,8,2016,656.8,
04.08.2016,4,8,2016,655.4,
05.08.2016,5,8,2016,656,
08.08.2016,8,8,2016,654.9,
09.08.2016,9,8,2016,652.7,
10.08.2016,10,8,2016,649,
11.08.2016,11,8,2016,642.77,
12.08.2016,12,8,2016,651.2,
15.08.2016,15,8,2016,649.46,
16.08.2016,16,8,2016,651.89,
17.08.2016,17,8,2016,657.91,
18.08.2016,18,8,2016,658.1,
19.08.2016,19,8,2016,662.5,
22.08.2016,22,8,2016,668.7,
23.08.2016,23,8,2016,672.79,
24.08.2016,24,8,2016,670.08,
25.08.2016,25,8,2016,662.79,
26.08.2016,26,8,2016,672.39,
29.08.2016,29,8,2016,671.79,
30.08.2016,30,8,2016,674.67,
31.08.2016,31,8,2016,680.6,
01.09.2016,1,9,2016,680.6,667.5377273
02.09.2016,2,9,2016,671.63,
05.09.2016,5,9,2016,673.77,
06.09.2016,6,9,2016,662.7,
07.09.2016,7,9,2016,662.7,
08.09.2016,8,9,2016,665.5,
09.09.2016,9,9,2016,671.73,
